User: Default,Path: C:\ProgramData\BMG Labtech\Voyager\Data
Test name: LDH activity,Date: 11-03-2026,Time: 14:17:09

Absorbance

Well,E05,E01,E02,E04,E03,
Content,Sample X5,Sample X1,Sample X2,Sample X4,Sample X3,Time [s]
Raw Data  (340),2.059,2.098,2.130,2.148,2.167,0
Raw Data  (340),2.049,2.081,2.114,2.119,2.147,20.60
Raw Data  (340),2.029,2.071,2.084,2.120,2.134,49.20
Raw Data  (340),1.999,2.024,2.053,2.068,2.091,79.70
Raw Data  (340),1.958,2.005,2.020,2.047,2.065,109.70
Raw Data  (340),1.943,1.978,2.005,2.014,2.051,137.90
Raw Data  (340),1.925,1.958,1.994,2.010,2.031,169.00
Raw Data  (340),1.888,1.923,1.953,1.963,1.989,198.60
Raw Data  (340),1.858,1.900,1.932,1.948,1.968,229.10
Raw Data  (340),1.835,1.876,1.893,1.924,1.939,258.10
Raw Data  (340),1.797,1.841,1.870,1.896,1.910,287.40
Raw Data  (340),1.783,1.822,1.851,1.876,1.899,317.00
Raw Data  (340),1.758,1.801,1.833,1.845,1.869,346.60
Raw Data  (340),1.737,1.781,1.815,1.829,1.853,376.00
Raw Data  (340),1.704,1.750,1.784,1.804,1.822,405.40
Raw Data  (340),1.685,1.727,1.761,1.778,1.810,434.80
Raw Data  (340),1.666,1.707,1.741,1.754,1.786,465.10
Raw Data  (340),1.646,1.682,1.726,1.740,1.766,494.10
Raw Data  (340),1.625,1.663,1.715,1.711,1.746,525.00
Raw Data  (340),1.604,1.636,1.689,1.691,1.714,554.10
Raw Data  (340),1.583,1.617,1.664,1.674,1.694,583.80
,,,,,,
