User: Default,Path: C:\ProgramData\BMG Labtech\Voyager\Data
Test name: LDH activity,Date: 11-03-2026,Time: 15:04:18

Absorbance

Well,G03,G01,G04,G02,G05,
Content,Sample X3,Sample X1,Sample X4,Sample X2,Sample X5,Time [s]
Raw Data  (340),2.115,2.103,2.141,2.096,2.137,0
Raw Data  (340),2.108,2.089,2.114,2.078,2.115,19.30
Raw Data  (340),2.072,2.058,2.080,2.050,2.079,48.50
Raw Data  (340),2.041,2.026,2.044,2.025,2.037,79.90
Raw Data  (340),2.003,1.991,2.015,1.998,2.012,108.40
Raw Data  (340),1.968,1.970,1.983,1.973,1.987,139.00
Raw Data  (340),1.932,1.936,1.943,1.939,1.951,168.60
Raw Data  (340),1.902,1.895,1.921,1.908,1.922,196.90
Raw Data  (340),1.883,1.883,1.894,1.892,1.901,227.50
Raw Data  (340),1.852,1.855,1.865,1.858,1.866,258.10
Raw Data  (340),1.816,1.821,1.832,1.832,1.831,286.40
Raw Data  (340),1.792,1.804,1.803,1.801,1.806,317.20
Raw Data  (340),1.760,1.772,1.773,1.779,1.780,347.80
Raw Data  (340),1.734,1.751,1.755,1.756,1.759,377.60
Raw Data  (340),1.704,1.719,1.721,1.721,1.723,406.70
Raw Data  (340),1.685,1.698,1.702,1.705,1.705,436.40
Raw Data  (340),1.651,1.673,1.668,1.676,1.675,467.20
Raw Data  (340),1.634,1.650,1.653,1.660,1.659,495.70
Raw Data  (340),1.606,1.625,1.621,1.632,1.633,525.20
Raw Data  (340),1.584,1.608,1.606,1.613,1.607,554.80
Raw Data  (340),1.551,1.579,1.582,1.582,1.587,584.70
,,,,,,
