User: Default,Path: C:\ProgramData\BMG Labtech\Voyager\Data
Test name: LDH activity,Date: 11-03-2026,Time: 15:52:08
Used kinetic range(s): Range 1,
Absorbance

Well,H03,H05,H04,H01,H02,
Content,Sample X3,Sample X5,Sample X4,Sample X1,Sample X2,Time [s]
Raw Data  (340),2.101,2.117,2.119,2.128,2.074,0
Raw Data  (340),2.055,2.099,2.094,2.098,2.050,20.20
Raw Data  (340),2.024,2.074,2.064,2.075,2.019,49.40
Raw Data  (340),1.980,2.014,2.027,2.039,1.981,80.70
Raw Data  (340),1.929,1.984,1.986,2.004,1.958,110.40
Raw Data  (340),1.885,1.955,1.965,1.974,1.925,140.40
Raw Data  (340),1.856,1.930,1.938,1.939,1.899,169.80
Raw Data  (340),1.819,1.888,1.907,1.909,1.866,199.20
Raw Data  (340),1.797,1.863,1.884,1.884,1.840,228.50
Raw Data  (340),1.781,1.825,1.850,1.858,1.822,258.40
Raw Data  (340),1.750,1.790,1.815,1.819,1.787,289.10
Raw Data  (340),1.728,1.770,1.778,1.786,1.762,318.00
Raw Data  (340),1.688,1.731,1.753,1.763,1.735,349.00
Raw Data  (340),1.658,1.700,1.718,1.731,1.710,378.60
Raw Data  (340),1.630,1.671,1.688,1.702,1.686,407.20
Raw Data  (340),1.604,1.637,1.656,1.674,1.649,437.90
Raw Data  (340),1.571,1.614,1.634,1.657,1.637,466.40
Raw Data  (340),1.540,1.591,1.606,1.620,1.610,497.00
Raw Data  (340),1.515,1.572,1.585,1.596,1.594,525.80
Raw Data  (340),1.492,1.537,1.543,1.563,1.564,556.00
Raw Data  (340),1.470,1.512,1.518,1.536,1.547,585.70
,,,,,,
