User: Default,Path: C:\ProgramData\BMG Labtech\Voyager\Data
Test name: LDH activity,Date: 11-03-2026,Time: 16:16:25
Used kinetic range(s): Range 1,
Absorbance

Well,A06,A09,A10,A08,A07,
Content,Sample X1,Sample X4,Sample X5,Sample X3,Sample X2,Time [s]
Raw Data  (340),2.067,2.132,2.138,2.125,2.158,0
Raw Data  (340),2.059,2.146,2.114,2.127,2.130,20.50
Raw Data  (340),2.034,2.099,2.088,2.111,2.102,49.20
Raw Data  (340),1.983,2.064,2.053,2.060,2.066,80.20
Raw Data  (340),1.962,2.025,2.033,2.026,2.021,109.00
Raw Data  (340),1.911,2.006,1.998,2.012,1.997,139.70
Raw Data  (340),1.862,1.979,1.963,1.989,1.988,168.90
Raw Data  (340),1.836,1.956,1.943,1.962,1.961,198.50
Raw Data  (340),1.811,1.910,1.918,1.945,1.949,229.70
Raw Data  (340),1.805,1.884,1.883,1.912,1.914,258.90
Raw Data  (340),1.790,1.861,1.864,1.879,1.901,289.20
Raw Data  (340),1.754,1.829,1.830,1.842,1.868,320.20
Raw Data  (340),1.714,1.804,1.806,1.821,1.844,350.00
Raw Data  (340),1.703,1.769,1.778,1.801,1.818,379.60
Raw Data  (340),1.676,1.741,1.752,1.781,1.798,409.40
Raw Data  (340),1.671,1.716,1.727,1.756,1.775,439.20
Raw Data  (340),1.644,1.690,1.700,1.736,1.753,469.30
Raw Data  (340),1.626,1.662,1.686,1.711,1.737,498.10
Raw Data  (340),1.606,1.650,1.663,1.691,1.715,528.40
Raw Data  (340),1.589,1.625,1.655,1.670,1.696,558.60
Raw Data  (340),1.572,1.603,1.641,1.645,1.670,588.70
,,,,,,
